series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S242,12,2,1960.0,2004.0,8.1,7.962889970857441e-05,"['iscgem879106', 'iscgem879149', 'iscgem879232', 'iscgem879416', 'iscgem879581', 'iscgem880062', 'iscgem880670', 'iscgem877550', 'iscgem17291428', 'usp00007nz', 'usp0000az9', 'usp000cu1z']"
S193,16,3,1945.0,2000.0,8.3,8.712226912671435e-05,"['iscgem899128', 'iscgem897548', 'usp0006kdp', 'usp0006ktd', 'usp0006m6j', 'usp0006qh3', 'usp0006qyz', 'usp0006rew', 'usp0006svx', 'usp0006vua', 'usp0006wgc', 'usp00077e6', 'usp0007852', 'usp0007chh', 'usp0007d0t', 'usp0009msf']"
S215,41,4,1952.0,2024.0,9.0,9.364799892088155e-05,"['official19521104165830_30', 'iscgem893662', 'iscgem893679', 'iscgem893680', 'iscgem893690', 'iscgem893860', 'iscgem893936', 'iscgem891410', 'iscgem891412', 'iscgem891431', 'iscgem891973', 'iscgem892076', 'iscgem892146', 'iscgem892320', 'iscgem890545', 'iscgem890818', 'iscgem889331', 'iscgem889433', 'iscgem889594', 'iscgem890116', 'iscgem888383', 'iscgem887437', 'iscgem887701', 'iscgem884945', 'iscgem881925', 'iscgem882280', 'iscgem883583', 'iscgem875939', 'iscgem778805', 'iscgem777414', 'iscgem777750', 'usp0001xqy', 'usp0002afy', 'usp000391f', 'usp00053rs', 'usp0007a08', 'usp0007k2n', 'usp000943c', 'usp000aqg8', 'us6000k1mn', 'us7000n7n8']"
S231,73,6,1957.0,2014.0,8.7,9.408542826491502e-05,"['iscgem885790', 'iscgem885978', 'official19570309142233_30', 'iscgem886043', 'iscgem886056', 'iscgem886071', 'iscgem886083', 'iscgem886103', 'iscgem886230', 'iscgem886282', 'iscgem886362', 'iscgem886421', 'iscgem886700', 'iscgem885339', 'iscgem879987', 'iscgem880759', 'iscgem875902', 'official19650204050122_30', 'iscgem858982', 'iscgem859094', 'iscgem855112', 'iscgem855674', 'iscgem852802', 'iscgem845214', 'iscgem844214', 'iscgem840198', 'iscgem808940', 'iscgem804402', 'iscgem803964', 'iscgem799531', 'iscgem786954', 'iscgem784013', 'iscgem783358', 'usp0000qga', 'usp0000rc6', 'usp0000uq0', 'usp0001668', 'usp0001byq', 'usp0002tmu', 'usp0002tvn', 'usp0002u3x', 'usp0002v5r', 'usp0002v6r', 'usp0002y12', 'usp00031dt', 'usp00032u7', 'usp00034ry', 'usp00034sx', 'usp0003536', 'usp00040e2', 'usp0006w5n', 'usp0007f34', 'usp0007zea', 'usp0008cs8', 'usp000bgz7', 'usp000bsvs', 'usp000bzyd', 'usp000c01m', 'usp000cd1n', 'usp000cdb4', 'usp000ceks', 'usp000cxkw', 'usp000dszm', 'usp000ekaq', 'usp000en5e', 'usp000fhn5', 'usp000fjsq', 'usp000fuse', 'usp000g41s', 'usp000g59v', 'usp000hk3k', 'usb000jdt7', 'usc000rki5']"
S151,13,2,1935.0,1981.0,8.2,0.0001047533924852806,"['iscgem904513', 'iscgem827772', 'iscgem825732', 'iscgem822083', 'iscgem817240', 'iscgem805430', 'iscgem805554', 'usp0000270', 'usp00002dx', 'usp0000862', 'usp0000bdp', 'usp00015mw', 'usp0001fn5']"
S346,5,1,1989.0,1991.0,7.6,0.00010595532198324285,"['usp000433j', 'usp000456h', 'usp0004g51', 'usp0004n2a', 'usp0004z3m']"
S449,17,2,2011.0,2016.0,7.9,0.00010803650327479633,"['usp000hvhj', 'usp000hvn3', 'usp000hvp5', 'usp000hvpa', 'usp000hvpc', 'usp000hvpg', 'usp000hvuu', 'usp000hw7r', 'usp000hzf6', 'usp000hzq8', 'usp000j3k6', 'usp000j4gp', 'usp000j84y', 'usp000jwjn', 'usc000kn4n', 'usb000rs50', 'us10007b88']"
S465,5,1,2015.0,2019.0,8.3,0.00011175862254381164,"['us20003k7a', 'us10003vgt', 'us10003x8t', 'us10008kce', 'us2000j6hy']"
S369,22,5,1993.0,2021.0,8.2,0.00011348905780312308,"['usp0005r9f', 'usp00069fm', 'usp0006aew', 'usp0009sd5', 'us1000gcii', 'us1000gez7', 'us1000gf2g', 'us1000gjaz', 'us2000h9e2', 'us2000hbk9', 'us2000hbpv', 'us2000hfjk', 'us1000h4l1', 'us1000hclz', 'us1000htm5', 'us1000i2gt', 'us60004xz4', 'us70005axg', 'us7000635e', 'us6000e47c', 'us6000e4rl', 'us7000e579']"
S327,15,1,1986.0,2023.0,7.4,0.00011496806899399376,"['usp0002w2h', 'usp0003tnc', 'usp000400f', 'usp0004dad', 'usp0005f79', 'usp0005fct', 'usp00065sh', 'usp00068d2', 'usp00068eg', 'usp00082mx', 'usp000cc6u', 'usp000f7b4', 'usp000fp9t', 'usp000g3eq', 'us7000lgwp']"
