event_id,year,year_error,month,day,lat,lon,magnitude,magnitude_error,depth_km,region,source_type,reference,quality_score,fe_region,latitude,longitude,parent_id,eta,parent_idx,eta_nn
cent19000105190000000,1900,0,1.0,5.0,-3.0,102.0,7.0,,,"Southern Sumatra, Indonesia",instrumental,USGS ComCat,0.95,43,-3.0,102.0,,,-1,inf
cent19000111090700000,1900,0,1.0,11.0,-5.0,148.0,7.0,,,Bismarck Sea,instrumental,USGS ComCat,0.95,38,-5.0,148.0,0.0,0.0026933150352371703,0,0.0026933150352371703
cent19000120063300000,1900,0,1.0,20.0,20.0,-105.0,7.3,,,"Jalisco, Mexico",instrumental,USGS ComCat,0.95,4,20.0,-105.0,1.0,0.015793330331888147,1,0.015793330331888147
cent19000131192200000,1900,0,1.0,31.0,48.0,146.0,7.5,,450.0,Sea of Okhotsk,instrumental,USGS ComCat,0.95,30,48.0,146.0,2.0,0.006899720180683666,2,0.006899720180683666
cent19000511172300000,1900,0,5.0,11.0,38.7,141.1,7.0,,5.0,"Northern Honshu, Japan",instrumental,USGS ComCat,0.95,31,38.7,141.1,3.0,0.0012508764213908009,3,0.0012508764213908009
cent19000621205200000,1900,0,6.0,21.0,10.0,-85.5,7.2,,,Costa Rica,instrumental,USGS ComCat,0.95,6,10.0,-85.5,2.0,0.01007713542970769,2,0.01007713542970769
cent19000729065900000,1900,0,7.0,29.0,-10.0,165.0,7.6,,,Santa Cruz Islands,instrumental,USGS ComCat,0.95,40,-10.0,165.0,1.0,0.01936758274986405,1,0.01936758274986405
cent19000917214500000,1900,0,9.0,17.0,-5.0,148.0,7.1,,,Bismarck Sea,instrumental,USGS ComCat,0.95,38,-5.0,148.0,6.0,0.0011851604245052495,6,0.0011851604245052495
official19001009122400000,1900,0,10.0,9.0,57.4,-151.0,7.86,,20.0,"Kodiak Island region, Alaska",instrumental,USGS ComCat,0.95,1,57.4,-151.0,6.0,0.018150084900075525,6,0.018150084900075525
cent19001029091100000,1900,0,10.0,29.0,11.0,-66.0,7.7,,,Near the coast of Venezuela,instrumental,USGS ComCat,0.95,7,11.0,-66.0,8.0,0.002896217361034147,8,0.002896217361034147
cent19001109161000000,1900,0,11.0,9.0,13.0,-90.0,7.0,,,Near the coast of El Salvador,instrumental,USGS ComCat,0.95,5,13.0,-90.0,9.0,0.000321162040285735,9,0.000321162040285735
cent19001124075700000,1900,0,11.0,24.0,43.5,148.0,7.0,,35.0,Kuril Islands,instrumental,USGS ComCat,0.95,30,43.5,148.0,3.0,0.0011045233728112756,3,0.0011045233728112756
cent19001225050900000,1900,0,12.0,25.0,43.0,146.0,7.1,,35.0,"Off the coast of Hokkaido, Japan",instrumental,USGS ComCat,0.95,31,43.0,146.0,11.0,6.171968321042912e-05,11,6.171968321042912e-05
cent19010107002900000,1901,0,1.0,7.0,-2.0,-82.0,7.2,,,Near the coast of Ecuador,instrumental,USGS ComCat,0.95,8,-2.0,-82.0,9.0,0.0017147460576407382,9,0.0017147460576407382
cent19010118043900000,1901,0,1.0,18.0,60.0,-135.0,7.1,,,"British Columbia-Yukon border, Canada",instrumental,USGS ComCat,0.95,2,60.0,-135.0,8.0,0.00043274338474300625,8,0.00043274338474300625
cent19010405233000000,1901,0,4.0,5.0,44.5,149.0,7.3,,35.0,Kuril Islands,instrumental,USGS ComCat,0.95,30,44.5,149.0,11.0,0.00018290846053931232,11,0.00018290846053931232
cent19010525003200000,1901,0,5.0,25.0,-10.0,160.0,7.2,,,Solomon Islands,instrumental,USGS ComCat,0.95,39,-10.0,160.0,6.0,0.0009511811120745181,6,0.0009511811120745181
cent19010615093400000,1901,0,6.0,15.0,39.0,143.0,7.0,,35.0,"Near the east coast of Honshu, Japan",instrumental,USGS ComCat,0.95,31,39.0,143.0,4.0,0.0007601035028640269,4,0.0007601035028640269
cent19010624070200000,1901,0,6.0,24.0,28.0,130.0,7.2,,35.0,"Ryukyu Islands, Japan",instrumental,USGS ComCat,0.95,32,28.0,130.0,17.0,0.0007042095971274599,17,0.0007042095971274599
cent19010809092300000,1901,0,8.0,9.0,40.5,142.5,7.2,,35.0,"Near the east coast of Honshu, Japan",instrumental,USGS ComCat,0.95,31,40.5,142.5,17.0,0.00010867004537119462,17,0.00010867004537119462
cent19010809130100000,1901,0,8.0,9.0,-22.0,170.0,7.9,,,Southeast of the Loyalty Islands,instrumental,USGS ComCat,0.95,40,-22.0,170.0,16.0,0.003698566087260257,16,0.003698566087260257
official19011008021600000,1901,0,10.0,8.0,11.0,-86.5,7.1,,,Near the coast of Nicaragua,instrumental,USGS ComCat,0.95,6,11.0,-86.5,5.0,0.0005054423089793613,5,0.0005054423089793613
uu19011114043900000,1901,0,11.0,14.0,38.5,-112.4,6.6,,,"Near Marysvale, Utah",instrumental,USGS ComCat,0.95,3,38.5,-112.4,21.0,0.008769143583929452,21,0.008769143583929452
cent19011125015100000,1901,0,11.0,25.0,3.0,127.0,7.0,,,Molucca Sea,instrumental,USGS ComCat,0.95,36,3.0,127.0,20.0,0.0067024186984065565,20,0.0067024186984065565
cent19011209021700000,1901,0,12.0,9.0,26.0,-110.0,7.1,,,Gulf of California,instrumental,USGS ComCat,0.95,4,26.0,-110.0,22.0,0.0036507839851275528,22,0.0036507839851275528
cent19011214225700000,1901,0,12.0,14.0,14.0,122.0,7.0,,,"Southeastern Luzon, Philippines",instrumental,USGS ComCat,0.95,35,14.0,122.0,23.0,0.001026880150574444,23,0.001026880150574444
ushis397,1901,0,12.0,30.0,52.0,-160.0,7.0,,,South of Alaska,instrumental,USGS ComCat,0.95,1,52.0,-160.0,8.0,0.0015207609280459386,8,0.0015207609280459386
ushis399,1901,0,12.0,31.0,51.45,-171.02,7.1,,,"Fox Islands, Aleutian Islands, Alaska",instrumental,USGS ComCat,0.95,1,51.45,-171.02,26.0,2.133797041746536e-05,26,2.133797041746536e-05
ushis400,1902,0,1.0,1.0,52.38,-167.45,7.0,,,"Fox Islands, Aleutian Islands, Alaska",instrumental,USGS ComCat,0.95,1,52.38,-167.45,27.0,1.3782527996261534e-06,27,1.3782527996261534e-06
cent19020112221800000,1902,0,1.0,12.0,3.0,122.0,7.0,,,Celebes Sea,instrumental,USGS ComCat,0.95,36,3.0,122.0,23.0,0.0006171617271383708,23,0.0006171617271383708
cent19020124232700000,1902,0,1.0,24.0,-8.0,150.0,7.2,,,"New Britain region, Papua New Guinea",instrumental,USGS ComCat,0.95,38,-8.0,150.0,29.0,0.0027281728185865025,29,0.0027281728185865025
official19020419022400000,1902,0,4.0,19.0,14.93,-91.5,7.5,,,"Near Quetzaltenango, Guatemala",instrumental,USGS ComCat,0.95,5,14.93,-91.5,10.0,0.0021301396896109843,10,0.0021301396896109843
cent19020502113100000,1902,0,5.0,2.0,39.0,144.0,7.0,,35.0,"Off the east coast of Honshu, Japan",instrumental,USGS ComCat,0.95,31,39.0,144.0,17.0,0.00021149266682117936,17,0.00021149266682117936
official19020822030000000,1902,0,8.0,22.0,39.8,76.2,7.7,,30.0,"About 50 km NNE of Kashgar, Xinjiang, China",instrumental,USGS ComCat,0.95,22,39.8,76.2,32.0,0.059216193322927525,32,0.059216193322927525
cent19020922014600000,1902,0,9.0,22.0,18.0,146.0,7.5,,,Northern Mariana Islands,instrumental,USGS ComCat,0.95,31,18.0,146.0,33.0,0.004549787336734827,33,0.004549787336734827
official19020923201800000,1902,0,9.0,23.0,16.5,-92.5,7.8,,,"Central Chiapas, Mexico",instrumental,USGS ComCat,0.95,5,16.5,-92.5,31.0,0.00012907672521113634,31,0.00012907672521113634
cent19021006091500000,1902,0,10.0,6.0,36.5,70.5,7.2,,200.0,"Hindu Kush region, Afghanistan",instrumental,USGS ComCat,0.95,22,36.5,70.5,33.0,0.0001372587352988192,33,0.0001372587352988192
cent19021212231000000,1902,0,12.0,12.0,29.0,-114.0,7.1,,,"Baja California, Mexico",instrumental,USGS ComCat,0.95,4,29.0,-114.0,35.0,0.0019391350671123437,35,0.0019391350671123437
cent19030104050700000,1903,0,1.0,4.0,-20.0,-175.0,8.0,,400.0,Tonga,instrumental,USGS ComCat,0.95,41,-20.0,-175.0,20.0,0.004397801862498822,20,0.004397801862498822
official19030114014800000,1903,0,1.0,14.0,15.0,-95.0,7.4,,,"Near the coast of Oaxaca, Mexico",instrumental,USGS ComCat,0.95,5,15.0,-95.0,35.0,9.314743994553059e-05,35,9.314743994553059e-05
ushis411,1903,0,1.0,17.0,50.85,-175.16,7.0,,,"153 km SE of Adak, Alaska",instrumental,USGS ComCat,0.95,1,50.85,-175.16,39.0,0.0011069136270679435,39,0.0011069136270679435
