event_id,year,lat,lon,magnitude,depth_km,region,fe_region,from_s170,dcfs_pa,dcfs_kpa,dcfs_bar,promotes_failure,receiver_strike,receiver_dip,receiver_rake
usp000cwj8,2004.0,34.251,141.406,6.5,16.0,Japan,31,False,8.014411970470682,0.008014411970470682,8.014411970470682e-05,True,200.0,15.0,90.0
usp000d3ka,2004.0,33.07,136.618,7.2,14.0,Japan,31,False,10.341048460319907,0.010341048460319907,0.00010341048460319907,True,200.0,15.0,90.0
usp000d6vk,2004.0,37.226,138.779,6.6,16.0,Japan,31,False,7.9923836515343005,0.007992383651534301,7.992383651534301e-05,True,200.0,15.0,90.0
usp000d9h1,2004.0,43.006,145.119,7.0,39.0,Japan,31,False,5.1168678486973675,0.005116867848697367,5.116867848697368e-05,True,200.0,15.0,90.0
usp000ddrk,2005.0,34.064,141.491,6.6,27.8,Japan,31,False,8.037161012838032,0.008037161012838032,8.037161012838032e-05,True,200.0,15.0,90.0
usp000djku,2005.0,33.807,130.131,6.6,10.0,Japan,31,True,13.43000323990623,0.01343000323990623,0.00013430003239906229,True,200.0,15.0,90.0
usp000dxe2,2005.0,38.276,142.039,7.2,36.0,Japan,31,False,6.754973230921808,0.006754973230921808,6.754973230921808e-05,True,200.0,15.0,90.0
usp000e462,2005.0,38.107,144.896,7.0,11.0,Japan,31,False,6.092155028000551,0.006092155028000551,6.092155028000551e-05,True,200.0,15.0,90.0
usp000e5c8,2005.0,38.089,142.122,6.5,29.0,Japan,31,False,6.780105479311549,0.0067801054793115495,6.780105479311549e-05,True,200.0,15.0,90.0
usp000en5e,2006.0,51.214,-179.312,6.6,22.0,Aleutians,1,False,0.06105782425553277,6.105782425553277e-05,6.105782425553277e-07,True,200.0,20.0,90.0
usp000eu5f,2006.0,46.351,153.166,6.6,11.0,Japan,30,False,3.5430434886132227,0.003543043488613223,3.543043488613223e-05,True,200.0,15.0,90.0
usp000exfn,2006.0,46.592,153.266,8.3,10.0,Japan,30,False,3.5075471620895042,0.0035075471620895043,3.507547162089504e-05,True,200.0,15.0,90.0
usp000exg0,2006.0,46.483,154.726,6.7,10.0,Japan,30,False,3.362676618101981,0.0033626766181019813,3.362676618101981e-05,True,200.0,15.0,90.0
usp000f2ab,2007.0,46.243,154.524,8.1,10.0,Japan,30,False,3.4067360363923407,0.0034067360363923406,3.4067360363923405e-05,True,200.0,15.0,90.0
usp000f7b5,2007.0,37.336,136.588,6.7,8.0,Japan,31,False,8.692780769916592,0.008692780769916591,8.692780769916592e-05,True,200.0,15.0,90.0
usp000fg9t,2007.0,37.535,138.446,6.6,12.0,Japan,31,False,8.002957681765514,0.008002957681765514,8.002957681765514e-05,True,200.0,15.0,90.0
usp000fgc3,2007.0,36.808,134.85,6.8,350.4,Japan,31,False,9.281999312572783,0.009281999312572783,9.281999312572782e-05,True,200.0,15.0,90.0
usp000fhn5,2007.0,51.307,-179.971,6.7,21.0,Aleutians,1,False,0.06062830048193232,6.062830048193232e-05,6.062830048193232e-07,True,200.0,20.0,90.0
usp000fjsq,2007.0,50.322,-177.548,6.5,9.0,Aleutians,1,False,0.06238571742611139,6.238571742611139e-05,6.238571742611139e-07,True,200.0,20.0,90.0
usp000fuse,2007.0,51.36,-179.509,7.2,34.0,Aleutians,1,False,0.06087666438703145,6.087666438703145e-05,6.087666438703145e-07,True,200.0,20.0,90.0
usp000g0jk,2008.0,46.406,153.175,6.5,10.0,Japan,30,False,3.5364745588003386,0.0035364745588003384,3.536474558800339e-05,True,200.0,15.0,90.0
usp000g41s,2008.0,51.878,-179.165,6.6,13.0,Aleutians,1,False,0.06105493213740456,6.105493213740456e-05,6.105493213740456e-07,True,200.0,20.0,90.0
usp000g59v,2008.0,51.864,-177.528,6.6,14.0,Aleutians,1,False,0.06210318120673962,6.210318120673962e-05,6.210318120673961e-07,True,200.0,20.0,90.0
usp000g5rx,2008.0,36.164,141.526,6.9,27.0,Japan,31,False,7.441987312889106,0.007441987312889106,7.441987312889105e-05,True,200.0,15.0,90.0
usp000g9h6,2008.0,39.03,140.881,6.9,7.8,Japan,31,False,6.874330583601429,0.006874330583601429,6.874330583601429e-05,True,200.0,15.0,90.0
usp000gcjg,2008.0,37.552,142.214,7.0,22.0,Japan,31,False,6.888436130744169,0.0068884361307441685,6.888436130744169e-05,True,200.0,15.0,90.0
usp000gczp,2008.0,39.802,141.464,6.8,108.0,Japan,31,False,6.512728609444817,0.006512728609444817,6.512728609444817e-05,True,200.0,15.0,90.0
usp000ggu8,2008.0,41.892,143.754,6.8,25.0,Japan,31,False,5.577998384274836,0.005577998384274836,5.577998384274836e-05,True,200.0,15.0,90.0
usp000gvv4,2009.0,46.049,151.548,6.9,31.0,Japan,30,False,3.7594557313704358,0.0037594557313704357,3.759455731370436e-05,True,200.0,15.0,90.0
usp000h04j,2009.0,33.167,137.944,7.1,292.0,Japan,31,False,9.523801956308336,0.009523801956308336,9.523801956308336e-05,True,200.0,15.0,90.0
usp000h093,2009.0,32.821,140.395,6.6,53.0,Japan,31,False,8.810113029292127,0.008810113029292127,8.810113029292127e-05,True,200.0,15.0,90.0
usp000h2u7,2009.0,52.754,-166.997,6.5,24.0,Aleutians,1,False,0.06921911664036293,6.921911664036293e-05,6.921911664036293e-07,True,200.0,20.0,90.0
usp000h3jp,2009.0,29.218,129.782,6.8,34.0,Japan,32,False,17.11779820917606,0.01711779820917606,0.0001711779820917606,True,200.0,15.0,90.0
usp000h7dn,2010.0,42.587,130.703,6.9,577.7,Japan,31,False,8.150247104350898,0.008150247104350899,8.150247104350897e-05,True,200.0,15.0,90.0
usp000h7qu,2010.0,25.93,128.425,7.0,25.0,Japan,32,False,21.76588602901442,0.02176588602901442,0.0002176588602901442,True,200.0,15.0,90.0
usp000h9cg,2010.0,37.745,141.59,6.5,32.0,Japan,31,False,7.0081583565697025,0.007008158356569702,7.008158356569702e-05,True,200.0,15.0,90.0
usp000hc4u,2010.0,60.473,-177.877,6.5,12.0,Aleutians,1,False,0.060215739388863834,6.0215739388863834e-05,6.021573938886383e-07,True,200.0,20.0,90.0
usp000hd6j,2010.0,25.773,129.944,6.5,10.0,Japan,32,False,20.07184894393079,0.020071848943930787,0.0002007184894393079,True,200.0,15.0,90.0
usp000hfdm,2010.0,52.876,-169.848,6.7,14.0,Aleutians,1,False,0.0671363472112841,6.71363472112841e-05,6.71363472112841e-07,True,200.0,20.0,90.0
usp000hk3k,2010.0,51.451,-175.87,6.5,23.5,Aleutians,1,False,0.06324222903513088,6.324222903513088e-05,6.324222903513089e-07,True,200.0,20.0,90.0
usp000hqaw,2010.0,28.349,139.187,6.8,470.0,Japan,31,False,10.493582183548167,0.010493582183548168,0.00010493582183548166,True,200.0,15.0,90.0
usp000hr97,2010.0,26.901,143.698,7.4,14.0,Japan,31,False,9.203825409675142,0.009203825409675142,9.203825409675141e-05,True,200.0,15.0,90.0
