series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S203,17,2,2011.0,2016.0,7.9,0.00010803650327479633,"['usp000hvhj', 'usp000hvn3', 'usp000hvp5', 'usp000hvpa', 'usp000hvpc', 'usp000hvpg', 'usp000hvuu', 'usp000hw7r', 'usp000hzf6', 'usp000hzq8', 'usp000j3k6', 'usp000j4gp', 'usp000j84y', 'usp000jwjn', 'usc000kn4n', 'usb000rs50', 'us10007b88']"
S129,16,3,1994.0,2023.0,8.3,0.00010914359014570175,"['usp0006kdp', 'usp0006ktd', 'usp0006m6j', 'usp0006qh3', 'usp0006qyz', 'usp0006rew', 'usp0006svx', 'usp0006vua', 'usp0006wgc', 'usp00077e6', 'usp0007852', 'usp0007chh', 'usp0007d0t', 'usp0009msf', 'usp000afg1', 'us6000m05c']"
S192,4,2,2007.0,2007.0,7.7,0.00011513857591113263,"['usp000fshy', 'usp000fsmf', 'usp000fsnz', 'usp000fujd']"
S047,53,5,1982.0,2024.0,8.0,0.00011918440276685813,"['usp0001nzq', 'usp0001tr1', 'usp0001tte', 'usp0001v7c', 'usp0001v7p', 'usp00024qw', 'usp00025gm', 'usp0002en1', 'usp0002gc3', 'usp0002h04', 'usp0002jkc', 'usp0002xzc', 'usp0002yy6', 'usp00034sg', 'usp0005ztm', 'usp00071ty', 'usp00071w4', 'usp00072a1', 'usp00091ag', 'usp000a2mw', 'usp000a3qq', 'usp000a3sp', 'usp000a45f', 'usp000a6ep', 'usp000arz5', 'usp000axuy', 'usp000bkjf', 'usp000bnbn', 'usp000bsdd', 'usp000bz8p', 'usp000c2k4', 'usp000cdw2', 'usp000dz2j', 'usp000e0h0', 'usp000e5zd', 'usp000fp59', 'usp000gyhq', 'usp000h9ra', 'usp000hfka', 'usp000hhfk', 'usp000hqdx', 'usp000jpjk', 'usb000gen8', 'usb000i8ey', 'us200081v8', 'us10007lkw', 'us10007uph', 'us1000d1kv', 'us1000d937', 'us1000haa3', 'us70003kyy', 'us7000mc2t', 'us7000nrwz']"
S116,22,5,1993.0,2021.0,8.2,0.00012167501105438885,"['usp0005r9f', 'usp00069fm', 'usp0006aew', 'usp0009sd5', 'us1000gcii', 'us1000gez7', 'us1000gf2g', 'us1000gjaz', 'us2000h9e2', 'us2000hbk9', 'us2000hbpv', 'us2000hfjk', 'us1000h4l1', 'us1000hclz', 'us1000htm5', 'us1000i2gt', 'us60004xz4', 'us70005axg', 'us7000635e', 'us6000e47c', 'us6000e4rl', 'us7000e579']"
S101,5,1,1990.0,2006.0,7.5,0.00013317079177569804,"['usp0004k00', 'usp0004x60', 'usp000558t', 'usp000ej4t', 'usp000evbu']"
S073,18,2,1986.0,2023.0,7.4,0.00013455730595572594,"['usp0002w2h', 'usp0003tnc', 'usp000400f', 'usp0004dad', 'usp0005f79', 'usp0005fct', 'usp0005fqc', 'usp0005ftz', 'usp0005usp', 'usp00065sh', 'usp00068d2', 'usp00068eg', 'usp00082mx', 'usp000cc6u', 'usp000f7b4', 'usp000fp9t', 'usp000g3eq', 'us7000lgwp']"
S211,7,2,2013.0,2015.0,8.0,0.00013590245807990308,"['usc000f1s0', 'usc000f3x8', 'usb000g6lc', 'usc000t4cz', 'us10002b03', 'us10002bpw', 'us20002yaw']"
S087,17,4,1987.0,2023.0,7.4,0.00013951522053665406,"['usp000396s', 'usp00039av', 'usp0003hm4', 'usp0003j4t', 'usp0003j6r', 'usp0003ja7', 'usp0003jud', 'usp0007ex5', 'usp0009hra', 'us10003q0q', 'us20005e8t', 'us10005c88', 'us20007ept', 'us10008qsb', 'us6000f7vg', 'us7000j2yw', 'usd000j5jt']"
S253,6,1,2024.0,2026.0,7.4,0.000140712379271856,"['us7000n7n8', 'us7000qdye', 'us6000qw6q', 'us6000qxt4', 'us7000qvw5', 'us7000sui3']"
S190,4,1,2007.0,2010.0,8.1,0.00014437224830982038,"['usp000f83m', 'usp000ff08', 'usp000fjw7', 'usp000h5nd']"
S170,46,12,2002.0,2023.0,9.1,0.0001460240204177423,"['usp000bfuz', 'official20041226005853450_30', 'usp000dcbh', 'usp000dd5a', 'usp000ddgf', 'usp000dfhb', 'usp000dfj2', 'usp000dfqj', 'usp000dg73', 'usp000dgfv', 'usp000dh0k', 'usp000dhc1', 'usp000djku', 'official20050328160936530_30', 'usp000dmtx', 'usp000dn1w', 'usp000dqs0', 'usp000dr4t', 'usp000dujc', 'usp000dvtc', 'usp000e4gh', 'usp000eh8s', 'usp000fn2b', 'usp000fn34', 'usp000fzau', 'usp000fzv0', 'usp000gapt', 'usp000hat0', 'usp000hbbt', 'usp000hchk', 'usp000hde8', 'usp000hdwb', 'usp000j7nn', 'usp000jdar', 'official20120411083836720_20', 'usp000jhjb', 'usp000jhr6', 'usp000jj41', 'usp000jwt8', 'usp000jx85', 'usc000lvb5', 'us10003vry', 'us20005zt1', 'us10007ghm', 'us7000e2zt', 'us7000knq0']"
S147,6,2,1997.0,2001.0,7.8,0.00014646567968028146,"['usp000890q', 'usp0008f2f', 'usp0008n5q', 'usp000907z', 'usp000967d', 'usp000ahyn']"
S028,11,2,1978.0,2022.0,7.7,0.0001521004688369488,"['usp0000v0f', 'usp0000v1t', 'usp0001bss', 'usp0002hmv', 'usp000dxe2', 'usp000e462', 'usp000e5c8', 'us6000dher', 'us7000dl6y', 'us7000dz5t', 'us6000h519']"
S058,7,1,1984.0,2003.0,7.6,0.0001522758003764457,"['usp00021u7', 'usp0002k69', 'usp0003jtm', 'usp0003rwm', 'usp00041c6', 'usp0004dhv', 'usp000bnvq']"
S178,4,2,2004.0,2007.0,6.9,0.00015275228813152746,"['usp000d600', 'usp000d81v', 'usp000d855', 'usp000ftdp']"
